epoch	sentence	true_context	split
t0	S5 V8 O3	N1	ambiguous_test
t0	S13 V8 O8	N1	ambiguous_test
t0	S11 V1 O1	N1	ambiguous_test
t0	S5 V4 O7	N1	ambiguous_test
t0	S30 V5 O5	N1	ambiguous_test
t0	S11 V5 O5	N1	ambiguous_test
t0	S4 V4 O2	N2	ambiguous_test
t0	S1 V2 O5	N1	ambiguous_test
t0	S11 V7 O7	N1	ambiguous_test
t0	S23 V1 O2	N1	ambiguous_test
t0	S30 V2 O3	N1	ambiguous_test
t0	S25 V5 O5	N1	ambiguous_test
t0	S15 V6 O6	N1	ambiguous_test
t0	S20 V5 O1	N1	ambiguous_test
t0	S9 V5 O8	N1	ambiguous_test
t0	S1 V1 O7	N1	ambiguous_test
t0	S7 V3 O8	N2	ambiguous_test
t0	S9 V7 O7	N1	ambiguous_test
t0	S27 V6 O8	N1	ambiguous_test
t0	S25 V3 O3	N1	ambiguous_test
t0	S8 V5 O5	N1	ambiguous_test
t0	S18 V7 O2	N1	ambiguous_test
t0	S3 V3 O2	N1	ambiguous_test
t0	S23 V7 O2	N1	ambiguous_test
t0	S3 V1 O4	N1	ambiguous_test
t0	S16 V2 O7	N1	ambiguous_test
t0	S30 V6 O3	N1	ambiguous_test
t0	S2 V4 O2	N1	ambiguous_test
t0	S8 V8 O7	N1	ambiguous_test
t0	S25 V1 O4	N1	ambiguous_test
t0	S21 V8 O3	N1	ambiguous_test
t0	S10 V7 O8	N1	ambiguous_test
t0	S1 V7 O1	N1	ambiguous_test
t0	S18 V8 O4	N2	ambiguous_test
t0	S16 V6 O7	N2	ambiguous_test
t0	S28 V4 O5	N1	ambiguous_test
t0	S6 V5 O4	N1	ambiguous_test
t0	S21 V8 O4	N1	ambiguous_test
t0	S21 V8 O5	N1	ambiguous_test
t0	S8 V6 O6	N2	ambiguous_test
t0	S28 V2 O2	N1	ambiguous_test
t0	S19 V3 O8	N1	ambiguous_test
t0	S15 V4 O8	N1	ambiguous_test
t0	S3 V3 O8	N1	ambiguous_test
t0	S25 V1 O4	N1	ambiguous_test
t0	S21 V2 O3	N1	ambiguous_test
t0	S15 V3 O2	N1	ambiguous_test
t0	S16 V3 O4	N1	ambiguous_test
t0	S2 V6 O6	N1	ambiguous_test
t0	S15 V5 O5	N1	ambiguous_test
t0	S8 V4 O1	N1	ambiguous_test
t0	S17 V8 O5	N1	ambiguous_test
t0	S10 V4 O6	N1	ambiguous_test
t0	S20 V5 O6	N2	ambiguous_test
t0	S23 V4 O7	N1	ambiguous_test
t0	S1 V2 O4	N1	ambiguous_test
t0	S11 V5 O5	N1	ambiguous_test
t0	S26 V4 O3	N1	ambiguous_test
t0	S8 V7 O8	N1	ambiguous_test
t0	S10 V5 O3	N1	ambiguous_test
t0	S17 V7 O4	N1	ambiguous_test
t0	S6 V4 O1	N1	ambiguous_test
t0	S15 V4 O4	N1	ambiguous_test
t0	S6 V7 O1	N1	ambiguous_test
t0	S4 V7 O2	N1	ambiguous_test
t0	S17 V5 O2	N1	ambiguous_test
t0	S3 V5 O2	N1	ambiguous_test
t0	S23 V4 O1	N1	ambiguous_test
t0	S25 V6 O7	N1	ambiguous_test
t0	S5 V4 O2	N1	ambiguous_test
t0	S26 V3 O4	N1	ambiguous_test
t0	S20 V1 O3	N1	ambiguous_test
t0	S14 V5 O5	N1	ambiguous_test
t0	S5 V3 O7	N1	ambiguous_test
t0	S20 V8 O3	N1	ambiguous_test
t0	S11 V5 O1	N1	ambiguous_test
t0	S7 V7 O2	N1	ambiguous_test
t0	S22 V3 O6	N1	ambiguous_test
t0	S16 V3 O3	N1	ambiguous_test
t0	S16 V7 O6	N1	ambiguous_test
t0	S30 V4 O8	N1	ambiguous_test
t0	S7 V4 O3	N2	ambiguous_test
t0	S6 V2 O3	N1	ambiguous_test
t0	S19 V3 O1	N1	ambiguous_test
t0	S25 V2 O3	N1	ambiguous_test
t0	S8 V7 O4	N1	ambiguous_test
t0	S23 V4 O4	N1	ambiguous_test
t0	S26 V2 O5	N1	ambiguous_test
t0	S28 V8 O3	N1	ambiguous_test
t0	S24 V5 O1	N1	ambiguous_test
t0	S28 V1 O7	N1	ambiguous_test
t0	S18 V5 O4	N1	ambiguous_test
t0	S7 V2 O8	N1	ambiguous_test
t0	S19 V6 O6	N1	ambiguous_test
t0	S7 V1 O8	N1	ambiguous_test
t0	S5 V8 O1	N2	ambiguous_test
t0	S1 V2 O6	N1	ambiguous_test
t0	S10 V3 O3	N1	ambiguous_test
t0	S15 V3 O3	N1	ambiguous_test
t0	S15 V7 O8	N1	ambiguous_test
t0	S10 V3 O8	N1	ambiguous_test
t0	S8 V3 O2	N1	ambiguous_test
t0	S18 V6 O4	N1	ambiguous_test
t0	S17 V1 O7	N1	ambiguous_test
t0	S29 V6 O6	N1	ambiguous_test
t0	S26 V4 O3	N1	ambiguous_test
t0	S2 V3 O6	N2	ambiguous_test
t0	S27 V2 O4	N2	ambiguous_test
t0	S14 V5 O5	N2	ambiguous_test
t0	S12 V4 O8	N1	ambiguous_test
t0	S29 V3 O2	N1	ambiguous_test
t0	S15 V3 O5	N2	ambiguous_test
t0	S16 V2 O6	N1	ambiguous_test
t0	S20 V3 O8	N1	ambiguous_test
t0	S21 V6 O1	N1	ambiguous_test
